,BTCUSDT,ETHUSDT,spread,zscore
128,15876.0,1104.1,32.16500000000087,0.6831123133745527
129,15866.0,1104.49,16.568499999999403,0.3515037294876559
130,15848.5,1102.47,28.055500000000393,0.51051205384673
131,15854.5,1103.89,13.678499999998166,0.08426509151013632
132,15848.5,1101.75,38.38750000000073,0.6722801073224015
133,15841.11,1099.24,67.01600000000144,1.560664265082111
134,15845.03,1099.3,70.07500000000255,1.823468193696246
135,15864.5,1101.77,54.100500000000466,1.0194962638459417
136,15834.62,1098.69,68.41849999999977,1.4972574669430594
137,15807.5,1097.02,65.26300000000083,1.2451308817796458
138,15760.0,1093.18,72.86700000000019,1.4292420696170756
139,15771.15,1092.14,98.9409999999989,2.153901592085397
140,15700.0,1086.49,108.8685000000005,2.1142439029829188
141,15738.84,1087.08,139.242000000002,2.476418292374452
142,15758.5,1089.76,120.44400000000132,1.7201068904634857
143,15764.28,1089.0,137.13000000000102,1.8667501106510536
144,15772.5,1093.0,87.95000000000073,0.6315219001730351
145,15768.93,1091.1,111.64500000000226,1.0870991999175768
146,15741.5,1083.34,195.57100000000173,2.502792449038644
147,15739.0,1084.4,177.85999999999876,1.8692837890218579
148,15757.53,1087.8,147.60000000000218,1.1515792538133358
149,15750.76,1087.2,149.4400000000005,1.07941650413504
150,15740.57,1086.71,146.28149999999914,0.9342529458468015
151,15753.5,1085.35,178.72750000000087,1.4443945052353968
152,15711.5,1080.93,200.15449999999873,1.7281918520384196
153,15719.63,1083.4,172.83999999999833,1.0781495801999346
154,15749.24,1087.66,141.3189999999995,0.34050268169809444
155,15744.06,1085.75,163.54750000000058,0.7539811779150208
156,15805.4,1092.05,134.48250000000007,0.006537743518664067
157,15784.67,1089.53,149.91450000000077,0.31484002504388486
158,15776.43,1087.75,167.21750000000065,0.7121817557956105
159,15747.5,1082.96,207.02399999999943,1.757254232593347
160,15769.0,1085.15,197.09749999999985,1.3348941455316639
161,15777.17,1088.83,152.45950000000084,-0.11880692052475351
162,15787.0,1089.75,149.08749999999964,-0.24598208475213598
163,15799.82,1091.7,133.92499999999927,-0.7833008684349532
164,15841.84,1097.85,87.69250000000102,-2.0259500985145005
165,16041.84,1114.08,54.79200000000128,-2.6577069762022534
166,16066.83,1117.59,29.413500000002387,-2.657310351876107
167,16039.6,1115.62,30.453000000003158,-2.1892801007687197
168,16184.49,1132.33,-64.44549999999799,-2.9021114216192765
169,16140.21,1130.7,-85.33500000000095,-2.5021848217039446
170,16123.31,1126.5,-41.965000000000146,-1.7157083441393544
171,16089.33,1122.0,-11.369999999998981,-1.2376272618817146
172,16131.44,1121.78,33.897000000000844,-0.6737412648229024
173,16189.95,1127.5,10.325000000000728,-0.84713994266646
174,16206.35,1128.5,12.375,-0.7466643809398193
175,16202.98,1130.67,-22.134500000001935,-1.0315975381349123
176,16256.82,1134.91,-29.13850000000093,-1.0086059706594317
177,16205.78,1129.35,-0.39249999999810825,-0.622575145087156
178,16222.07,1130.29,2.408500000001368,-0.5246431968493875
179,16206.48,1130.05,-9.737499999999272,-0.5914813322254746
180,16195.93,1127.25,19.892499999999927,-0.14785551673883618
181,16195.96,1127.86,11.169000000001688,-0.1697976646955724
182,16170.66,1125.45,20.452499999999418,0.08227080592456487
183,16157.26,1120.62,76.36300000000301,1.2786452284022296
184,16110.5,1125.57,-41.42949999999837,-1.0580721565898925
185,16160.26,1126.4,-3.5799999999999272,-0.08336155869191189
186,16158.16,1125.0,14.409999999999854,0.4586112975562362
187,16132.75,1120.12,59.028000000002066,1.5661688093155248
188,16142.97,1127.37,-34.78949999999895,-0.8052543607022797
189,16120.7,1125.96,-36.82599999999911,-0.9356910315419183
190,16178.85,1130.66,-46.121000000001004,-1.3782386452477091
191,16190.51,1130.31,-29.438499999998385,-0.9075688794947568
192,16179.15,1127.93,-6.645500000000538,-0.20697424424455269
193,16180.49,1129.52,-28.12199999999939,-0.7939875006502923
194,16186.5,1133.03,-72.48049999999967,-1.8764314660845967
195,16163.92,1130.51,-58.89849999999933,-1.334807999731654
196,16151.47,1128.63,-44.37050000000272,-0.890231676839955
197,16103.28,1124.7,-36.164999999999054,-0.6564920910120083
198,16118.2,1126.99,-54.10649999999987,-1.040627884707951
199,16123.3,1128.04,-64.07400000000052,-1.1787440303932333
